DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
2618.0,92.879,61.178,0.273,2.212,0.807,2618.0
2618.1,93.408,52.925,0.271,2.23,0.784,2618.1
2618.2,94.535,43.151,0.277,2.255,0.72,2618.2
2618.3,95.836,37.028,0.291,2.285,0.676,2618.3
2618.4,97.225,35.2,0.312,2.312,0.635,2618.4
2618.5,98.639,33.758,0.336,2.336,0.605,2618.5
2618.6,99.419,37.2,0.352,2.356,0.653,2618.6
2618.7,99.645,44.774,0.355,2.373,0.739,2618.7
2618.8,98.352,63.129,0.344,2.386,0.821,2618.8
2618.9,96.619,75.168,0.331,2.392,0.885,2618.9
2619.0,94.564,74.397,0.303,2.39,1.002,2619.0
2619.1,92.376,76.013,0.271,2.384,1.092,2619.1
2619.2,90.484,78.003,0.242,2.378,1.112,2619.2
2619.3,88.868,77.309,0.228,2.378,1.146,2619.3
2619.4,87.806,75.123,0.224,2.383,1.073,2619.4
2619.5,86.825,73.717,0.225,2.392,1.022,2619.5
2619.6,85.923,62.271,0.215,2.404,0.992,2619.6
2619.7,85.673,57.972,0.211,2.425,0.924,2619.7
2619.8,85.887,60.38,0.212,2.462,0.986,2619.8
2619.9,86.667,52.2,0.225,2.513,1.188,2619.9
2620.0,91.123,44.617,0.248,2.554,1.401,2620.0
2620.1,95.466,45.631,0.288,2.56,1.691,2620.1
2620.2,99.094,52.149,0.324,2.524,1.888,2620.2
2620.3,102.163,61.986,0.356,2.465,1.688,2620.3
2620.4,104.717,67.943,0.383,2.413,1.43,2620.4
2620.5,106.446,74.126,0.397,2.384,1.284,2620.5
2620.6,107.659,80.676,0.404,2.372,1.832,2620.6
2620.7,107.925,84.864,0.398,2.367,1.712,2620.7
2620.8,106.203,86.111,0.379,2.361,1.214,2620.8
2620.9,104.487,85.981,0.359,2.35,0.715,2620.9
2621.0,103.403,80.541,0.355,2.333,0.706,2621.0
2621.1,104.244,72.853,0.371,2.314,0.71,2621.1
2621.2,105.4,66.03,0.407,2.302,0.714,2621.2
2621.3,106.579,69.026,0.439,2.303,0.714,2621.3
2621.4,107.366,78.39,0.45,2.313,0.715,2621.4
2621.5,107.862,83.066,0.436,2.324,0.715,2621.5
2621.6,108.24,86.021,0.413,2.325,0.704,2621.6
2621.7,108.751,84.387,0.407,2.311,0.693,2621.7
2621.8,108.08,79.321,0.411,2.286,0.72,2621.8
2621.9,106.566,68.804,0.412,2.26,0.601,2621.9
2622.0,103.852,63.754,0.403,2.239,0.483,2622.0
2622.1,101.755,62.18,0.393,2.222,0.447,2622.1
2622.2,100.167,55.547,0.38,2.209,0.429,2622.2
2622.3,99.561,50.91,0.369,2.2,0.384,2622.3
2622.4,99.693,51.017,0.362,2.199,0.382,2622.4
2622.5,100.475,53.389,0.363,2.208,0.42,2622.5
2622.6,101.509,56.184,0.365,2.229,0.452,2622.6
2622.7,102.61,63.07,0.374,2.259,0.489,2622.7
2622.8,103.79,70.756,0.394,2.293,0.533,2622.8
2622.9,104.825,76.888,0.407,2.319,0.577,2622.9
